City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marysville,US,48.0518,-122.1771,60.49,73,90,1.99,overcast clouds
1,Ucluelet,CA,48.9329,-125.5528,56.08,90,90,1.41,overcast clouds
2,Nanortalik,GL,60.1432,-45.2371,39.36,70,63,6.76,broken clouds
3,Ushuaia,AR,-54.8,-68.3,29.82,100,75,3.44,broken clouds
4,Gobabis,NA,-22.45,18.9667,59.79,28,0,11.16,clear sky
5,Qaanaaq,GL,77.484,-69.3632,33.71,76,14,4.03,few clouds
6,Nikolskoye,RU,59.7035,30.7861,75.79,43,5,2.84,clear sky
7,Tudela,ES,42.0617,-1.6045,67.87,64,69,21.63,broken clouds
8,Airai,TL,-8.9266,125.4092,57.45,88,41,3.31,scattered clouds
9,Bluff,NZ,-46.6,168.3333,49.8,83,99,11.72,overcast clouds
10,Nehe,CN,48.4833,124.8333,50.36,93,98,9.55,overcast clouds
11,Rongcheng,CN,30.634,117.8517,65.44,85,79,4.56,broken clouds
12,Tasiilaq,GL,65.6145,-37.6368,42.96,85,100,5.41,light rain
13,Punta Arenas,CL,-53.15,-70.9167,35.71,100,90,2.37,mist
14,Lardos,GR,36.0942,28.0157,77.95,56,0,14.54,clear sky
15,Bahia Blanca,AR,-38.7196,-62.2724,62.11,54,100,6.26,overcast clouds
16,Cidreira,BR,-30.1811,-50.2056,71.64,59,21,6.2,few clouds
17,Bredasdorp,ZA,-34.5322,20.0403,60.12,67,76,5.73,broken clouds
18,Cabedelo,BR,-6.9811,-34.8339,84.87,68,31,17.0,scattered clouds
19,Zvishavane,ZW,-20.3267,30.0665,57.47,52,96,6.55,overcast clouds
20,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,90,20.71,heavy intensity drizzle
21,Atuona,PF,-9.8,-139.0333,79.41,81,29,19.06,scattered clouds
22,Ambon,ID,-3.6954,128.1814,80.11,79,100,7.43,overcast clouds
23,Akyab,MM,20.15,92.9,84.97,79,100,9.95,overcast clouds
24,Banda Aceh,ID,5.5577,95.3222,77.07,83,100,11.52,light rain
25,Busselton,AU,-33.65,115.3333,57.04,74,45,8.84,scattered clouds
26,Kapaa,US,22.0752,-159.319,75.52,85,90,1.01,light rain
27,Dikson,RU,73.5069,80.5464,30.43,97,100,18.03,light snow
28,Yellowknife,CA,62.456,-114.3525,49.28,100,90,3.0,fog
29,Mar Del Plata,AR,-38.0023,-57.5575,64.09,51,90,5.01,overcast clouds
30,Kaitangata,NZ,-46.2817,169.8464,45.93,74,73,5.64,broken clouds
31,Khuzhir,RU,53.1939,107.3397,49.05,66,23,2.71,few clouds
32,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,78,40,4.61,scattered clouds
33,Rikitea,PF,-23.1203,-134.9692,73.58,75,100,13.71,overcast clouds
34,Bathsheba,BB,13.2167,-59.5167,88.41,55,40,18.41,scattered clouds
35,Sorong,ID,-0.8833,131.25,77.97,90,91,8.43,overcast clouds
36,Norman Wells,CA,65.282,-126.8329,51.84,87,75,8.05,broken clouds
37,Inta,RU,66.0317,60.1659,63.73,41,10,19.93,clear sky
38,Juba,SS,4.8517,31.5825,80.83,63,66,3.91,broken clouds
39,Hermanus,ZA,-34.4187,19.2345,58.8,74,74,9.4,broken clouds
40,Cape Town,ZA,-33.9258,18.4232,64.27,72,0,5.01,clear sky
41,Matara,LK,5.9485,80.5353,78.6,88,98,8.19,overcast clouds
42,San Cristobal,VE,7.7669,-72.225,75.38,55,100,8.16,overcast clouds
43,Suhbaatar,MN,50.2314,106.2078,63.97,41,1,3.18,clear sky
44,Am Timan,TD,11.0297,20.2827,99.28,24,60,6.2,broken clouds
45,Saint-Louis,SN,16.3333,-15.0,109.04,12,9,14.2,clear sky
46,Nantucket,US,41.2835,-70.0995,65.97,99,90,17.27,mist
47,Hobart,AU,-42.8794,147.3294,41.05,78,24,3.0,few clouds
48,Hasaki,JP,35.7333,140.8333,66.6,94,100,17.4,overcast clouds
49,Wenling,CN,28.3669,121.36,68.88,94,100,2.15,light rain
50,Ghatsila,IN,22.6,86.4833,90.52,51,81,7.0,broken clouds
51,General Roca,AR,-39.0333,-67.5833,54.0,46,99,9.33,light rain
52,Axim,GH,4.8699,-2.2405,82.51,76,91,6.71,light rain
53,Boa Vista,BR,2.8197,-60.6733,80.58,83,75,5.75,broken clouds
54,Nampula,MZ,-15.1165,39.2666,73.35,78,40,8.05,light rain
55,Butaritari,KI,3.0707,172.7902,82.29,69,100,4.76,overcast clouds
56,Saint-Philippe,RE,-21.3585,55.7679,76.55,82,46,12.64,light rain
57,Jumla,NP,29.2747,82.1838,60.37,77,62,1.41,broken clouds
58,Labuhan,ID,-6.8844,112.2051,80.42,84,40,8.68,scattered clouds
59,Sao Filipe,CV,14.8961,-24.4956,76.87,66,24,15.48,few clouds
60,Limpapa,PH,7.1197,121.9106,76.33,86,100,4.47,overcast clouds
61,Okhotsk,RU,59.3833,143.3,38.03,92,13,1.7,few clouds
62,Ponta Do Sol,PT,32.6667,-17.1,70.72,60,37,3.74,scattered clouds
63,Waipawa,NZ,-41.4122,175.5153,55.02,87,19,7.4,few clouds
64,Ocos,GT,14.5094,-92.1933,92.73,72,43,6.35,scattered clouds
65,Mount Gambier,AU,-37.8333,140.7667,40.91,87,43,11.5,scattered clouds
66,Champerico,GT,14.3,-91.9167,92.77,70,35,5.64,scattered clouds
67,Tommot,RU,58.9564,126.2925,53.17,74,3,3.06,clear sky
68,Mataura,NZ,-46.1927,168.8643,49.48,94,92,3.6,overcast clouds
69,Vaini,TO,-21.2,-175.2,71.76,88,75,3.44,light rain
70,Nouadhibou,MR,20.931,-17.0347,82.38,47,29,13.8,sand
71,Ust-Ilimsk,RU,58.0006,102.6619,53.65,91,98,3.33,overcast clouds
72,Kahului,US,20.8947,-156.47,78.84,74,1,9.22,clear sky
73,Lakes Entrance,AU,-37.8811,147.981,42.19,62,96,9.1,overcast clouds
74,Seoul,KR,37.5683,126.9778,66.61,77,0,6.69,clear sky
75,Zaysan,KZ,47.4667,84.8667,62.64,80,72,1.63,broken clouds
76,Lompoc,US,34.6391,-120.4579,60.93,84,90,1.99,mist
77,Chokurdakh,RU,70.6333,147.9167,50.43,95,100,7.34,overcast clouds
78,Kavaratti,IN,10.5669,72.642,82.69,79,100,10.13,overcast clouds
79,Jaru,BR,-10.4389,-62.4664,82.69,58,100,3.24,overcast clouds
80,Port Lincoln,AU,-34.7333,135.8667,54.0,82,1,8.97,clear sky
81,Avarua,CK,-21.2078,-159.775,75.25,73,75,4.61,light rain
82,Ketchikan,US,55.3422,-131.6461,49.98,93,90,12.66,moderate rain
83,New Norfolk,AU,-42.7826,147.0587,40.71,74,56,3.18,broken clouds
84,Kutum,SD,14.2,24.6667,94.62,12,21,17.45,few clouds
85,Barrow,US,71.2906,-156.7887,32.02,86,90,11.5,mist
86,Khatanga,RU,71.9667,102.5,31.89,99,100,9.66,overcast clouds
87,Halifax,CA,44.6453,-63.5724,69.42,91,90,11.5,overcast clouds
88,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,18.75,moderate rain
89,Lata,PT,40.1629,-8.3327,84.72,38,12,10.94,few clouds
90,Piacabucu,BR,-10.4056,-36.4344,82.45,64,14,13.42,few clouds
91,Martapura,ID,-3.4167,114.85,78.89,94,20,2.21,few clouds
92,Lorengau,PG,-2.0226,147.2712,81.18,80,58,6.2,broken clouds
93,Whakatane,NZ,-37.9585,176.9854,42.51,99,11,4.36,few clouds
94,Caimito,CO,8.8123,-75.4107,84.31,74,100,4.12,overcast clouds
95,Saskylakh,RU,71.9167,114.0833,33.37,91,100,12.73,overcast clouds
96,Faanui,PF,-16.4833,-151.75,80.42,70,89,2.66,overcast clouds
97,Jamestown,US,42.097,-79.2353,74.3,73,75,12.66,broken clouds
98,Hithadhoo,MV,-0.6,73.0833,82.18,77,100,17.36,overcast clouds
99,Avera,US,33.194,-82.5271,85.51,66,100,4.23,overcast clouds
100,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,83.53,55,100,3.85,overcast clouds
101,Baykit,RU,61.67,96.37,40.41,90,98,2.04,overcast clouds
102,Serenje,ZM,-13.2325,30.2352,62.56,60,39,9.51,scattered clouds
103,Topolobampo,MX,25.6,-109.05,89.11,47,0,5.35,clear sky
104,Noumea,NC,-22.2763,166.4572,71.01,99,87,5.3,overcast clouds
105,El Vigia,VE,8.6219,-71.6506,86.02,67,100,4.74,overcast clouds
106,Thompson,CA,55.7435,-97.8558,51.96,93,90,2.3,overcast clouds
107,Broken Hill,AU,-31.95,141.4333,44.31,93,6,0.0,clear sky
108,Pauini,BR,-7.7136,-66.9764,90.75,38,100,3.29,overcast clouds
109,Fethiye,TR,36.6217,29.1164,76.87,42,12,1.92,few clouds
110,Ribeira Grande,PT,38.5167,-28.7,68.4,73,20,12.66,few clouds
111,Port Alfred,ZA,-33.5906,26.891,58.6,58,100,8.95,overcast clouds
112,Narsaq,GL,60.9167,-46.05,55.62,54,47,4.85,scattered clouds
113,Ahipara,NZ,-35.1667,173.1667,56.16,85,46,9.51,scattered clouds
114,Ancud,CL,-41.8697,-73.8203,45.93,81,95,9.28,light rain
115,Ilhabela,BR,-23.7781,-45.3581,76.15,75,0,5.75,clear sky
116,Ulladulla,AU,-35.35,150.4667,45.88,75,3,7.56,clear sky
117,Saldanha,ZA,-33.0117,17.9442,66.25,71,54,8.79,broken clouds
118,Cherskiy,RU,68.75,161.3,58.62,45,98,10.89,overcast clouds
119,Prescott,US,34.54,-112.4685,84.34,18,1,1.99,clear sky
120,Georgetown,MY,5.4112,100.3354,81.9,86,20,5.01,few clouds
121,Castro,BR,-24.7911,-50.0119,73.85,52,1,5.28,clear sky
122,Jalu,LY,29.0331,21.5482,96.26,17,0,14.52,clear sky
123,Pacific Grove,US,36.6177,-121.9166,57.31,94,90,1.99,overcast clouds
124,Brae,GB,60.3964,-1.353,55.31,73,44,8.7,scattered clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,8.05,mist
126,Vardo,NO,70.3705,31.1107,55.6,87,91,3.44,overcast clouds
127,Souillac,MU,-20.5167,57.5167,70.36,94,75,16.89,light rain
128,Albany,US,42.6001,-73.9662,74.26,79,100,1.88,overcast clouds
129,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,59,95,8.43,overcast clouds
130,Santa Fe,AR,-31.6333,-60.7,74.98,76,100,1.99,overcast clouds
131,Yumen,CN,40.2833,97.2,76.84,8,0,11.07,clear sky
132,Dingle,PH,10.9995,122.6711,78.93,90,100,2.28,light rain
133,Synya,RU,65.3718,58.0387,69.12,34,28,9.19,scattered clouds
134,Maamba,ZM,-17.3667,27.15,63.66,51,0,2.24,clear sky
135,Alpena,US,45.0617,-83.4327,78.94,61,1,5.01,clear sky
136,Ixtapa,MX,20.7,-105.2,80.22,80,100,1.01,overcast clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,78.76,78,73,8.01,broken clouds
138,Karatau,KZ,43.1667,70.4667,83.39,24,3,7.09,clear sky
139,Rio Grande,BR,-32.035,-52.0986,71.94,70,100,7.07,overcast clouds
140,Pedasi,PA,7.5333,-80.0333,82.99,76,93,8.5,overcast clouds
141,Serro,BR,-18.6047,-43.3794,78.42,38,38,9.75,scattered clouds
142,Rawson,AR,-43.3002,-65.1023,55.65,49,6,21.23,clear sky
143,Hofn,IS,64.2539,-15.2082,50.02,87,90,8.05,mist
144,Saint-Pierre,RE,-21.3393,55.4781,76.64,76,75,5.75,broken clouds
145,Chicama,PE,-7.8447,-79.1469,64.94,61,12,6.85,few clouds
146,Banyo,CM,6.75,11.8167,76.89,75,89,5.01,light rain
147,Zheleznodorozhnyy,RU,55.7503,38.0042,71.78,48,1,10.76,clear sky
148,Riyadh,SA,24.6877,46.7219,109.45,7,0,8.05,clear sky
149,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,68,40,7.09,scattered clouds
150,Torbay,CA,47.6666,-52.7314,61.57,90,90,19.57,moderate rain
151,Meulaboh,ID,4.1363,96.1285,72.75,95,100,9.22,overcast clouds
152,Oranjestad,AW,12.524,-70.027,85.95,66,75,24.16,broken clouds
153,Sauk Rapids,US,45.5919,-94.1661,90.0,40,1,1.99,clear sky
154,Saint Anthony,US,45.0205,-93.218,86.9,47,1,1.01,clear sky
155,Belmonte,BR,-15.8631,-38.8828,72.1,86,63,11.68,broken clouds
156,Hambantota,LK,6.1241,81.1185,80.94,94,75,11.48,broken clouds
157,Victoria,HK,22.2855,114.1577,81.32,86,99,1.01,overcast clouds
158,Korla,CN,41.7597,86.1469,83.3,25,100,3.56,overcast clouds
159,Alofi,NU,-19.0595,-169.9187,73.29,100,76,6.91,light rain
160,Henties Bay,NA,-22.116,14.2845,78.85,44,0,8.1,clear sky
161,Pangoa,PE,-12.1167,-73.0,76.62,77,100,0.2,overcast clouds
162,Chuy,UY,-33.6971,-53.4616,67.06,80,85,8.95,heavy intensity rain
163,Kloulklubed,PW,7.0419,134.2556,79.3,78,100,5.57,overcast clouds
164,Alta Floresta,BR,-9.8756,-56.0861,93.02,40,0,10.36,clear sky
165,Codrington,AU,-38.2667,141.9667,41.25,83,41,9.95,scattered clouds
166,Bikin,RU,46.8161,134.26,49.46,96,40,3.87,scattered clouds
167,Carnarvon,AU,-24.8667,113.6333,53.67,87,0,4.61,clear sky
168,Bukachacha,RU,52.9833,116.9167,50.94,72,5,5.39,clear sky
169,Bulolo,PG,-7.2,146.65,69.82,98,81,1.05,broken clouds
170,Nemuro,JP,43.3236,145.575,52.59,99,100,24.7,overcast clouds
171,Kabanjahe,ID,3.1001,98.4908,63.36,99,100,3.74,overcast clouds
172,Portland,US,45.5234,-122.6762,62.78,67,20,1.01,few clouds
173,Grand Gaube,MU,-20.0064,57.6608,70.38,89,61,5.99,light rain
174,Namibe,AO,-15.1961,12.1522,79.43,69,20,14.97,few clouds
175,Macau,MO,22.2006,113.5461,81.72,78,20,13.8,few clouds
176,Kulhudhuffushi,MV,6.6221,73.07,83.05,77,100,13.82,overcast clouds
177,Muzhi,RU,65.3667,64.6667,63.55,41,100,14.65,overcast clouds
178,Pisco,PE,-13.7,-76.2167,65.01,72,90,5.75,overcast clouds
179,Ostrovnoy,RU,68.0531,39.5131,53.13,61,66,6.31,broken clouds
180,Homer,US,59.6425,-151.5483,51.08,89,40,0.0,scattered clouds
181,Ocean City,US,39.2776,-74.5746,75.25,87,100,5.01,overcast clouds
182,Cookeville,US,36.1628,-85.5016,77.47,73,1,1.99,clear sky
183,Laguna,US,38.421,-121.4238,84.02,60,1,4.0,clear sky
184,Finschhafen,PG,-6.6024,147.8681,79.52,82,95,4.97,overcast clouds
185,Batagay-Alyta,RU,67.8006,130.4114,59.23,55,100,5.21,overcast clouds
186,Rocha,UY,-34.4833,-54.3333,69.44,78,32,10.04,scattered clouds
187,Carballo,ES,43.213,-8.691,74.59,73,1,7.38,clear sky
188,Khandyga,RU,62.6667,135.6,54.7,77,32,4.99,scattered clouds
189,Bud,US,39.447,-86.1758,82.04,59,46,5.95,scattered clouds
190,San Rafael,AR,-34.6177,-68.3301,62.1,49,12,10.25,few clouds
191,Bengkulu,ID,-3.8004,102.2655,76.33,89,89,3.67,overcast clouds
192,Fortuna Foothills,US,32.6578,-114.4119,92.7,15,1,8.72,clear sky
193,Rize,TR,40.9044,40.8949,43.7,94,94,1.99,overcast clouds
194,Worland,US,44.0169,-107.9554,85.6,37,1,4.61,clear sky
195,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,89.55,28,8,8.95,clear sky
196,Boralday,KZ,43.3578,76.8594,78.66,29,75,11.79,broken clouds
197,Dharmavaram,IN,14.4333,77.7167,86.63,56,100,7.27,overcast clouds
198,Zabkowice Slaskie,PL,50.5897,16.8124,76.86,51,57,5.46,broken clouds
199,Yakima,US,46.4665,-120.6678,74.17,36,1,2.42,clear sky
200,Mazamari,PE,-11.3258,-74.5308,79.11,71,93,3.06,moderate rain
201,Esperance,AU,-33.8667,121.9,55.24,65,24,12.55,few clouds
202,Son La,VN,21.3167,103.9,70.34,99,87,2.73,overcast clouds
203,Lebu,CL,-37.6167,-73.65,54.43,85,100,8.48,overcast clouds
204,El Seibo,DO,18.7641,-69.0375,87.33,52,28,16.13,scattered clouds
205,Turayf,SA,31.6725,38.6637,93.45,18,0,13.8,clear sky
206,San Patricio,US,28.017,-97.5169,78.89,72,85,3.96,overcast clouds
207,Plouzane,FR,48.3833,-4.6167,64.58,57,75,9.89,broken clouds
208,Bone,DE,51.9669,12.1396,81.99,49,34,1.25,scattered clouds
209,Upernavik,GL,72.7868,-56.1549,32.61,75,83,5.01,broken clouds
210,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,57,100,7.34,overcast clouds
211,College,US,64.8569,-147.8028,56.89,69,75,0.0,broken clouds
212,Cayenne,GF,4.9333,-52.3333,85.08,79,92,5.01,overcast clouds
213,Sarangani,PH,5.4033,125.4636,83.53,73,97,6.78,overcast clouds
214,Iqaluit,CA,63.7506,-68.5145,38.93,64,90,20.0,light rain
215,Hilo,US,19.7297,-155.09,72.28,80,75,8.05,broken clouds
216,Port Blair,IN,11.6667,92.75,84.33,74,32,5.66,scattered clouds
217,Yar-Sale,RU,66.8333,70.8333,52.27,53,99,8.59,overcast clouds
218,Takoradi,GH,4.8845,-1.7554,82.94,73,100,9.82,light rain
219,Bereda,ES,43.2686,-7.5406,69.42,56,0,6.71,clear sky
220,Nador,MA,35.174,-2.9287,78.87,68,0,12.35,clear sky
221,Mount Isa,AU,-20.7333,139.5,60.57,51,79,9.22,broken clouds
222,Mandalgovi,MN,45.7625,106.2708,62.38,30,1,3.94,clear sky
223,Praia,CV,14.9215,-23.5087,82.94,54,0,24.16,clear sky
224,Husavik,IS,66.0449,-17.3389,64.31,75,100,5.7,overcast clouds
225,Guerrero Negro,MX,27.9769,-114.0611,70.02,55,0,4.74,clear sky
226,Cesme,TR,38.3228,26.3064,80.31,38,0,19.64,clear sky
227,Aklavik,CA,68.2191,-135.0107,38.12,93,90,9.22,light rain
228,Port Macquarie,AU,-31.4333,152.9167,53.56,77,4,17.43,clear sky
229,Erdenet,MN,49.0333,104.0833,59.0,38,12,3.18,few clouds
230,Kesan,TR,40.8558,26.6303,70.29,59,68,3.65,broken clouds
231,Pangnirtung,CA,66.1451,-65.7125,39.2,56,90,10.36,overcast clouds
232,Kansanshi,ZM,-12.0951,26.4273,66.07,49,7,4.76,clear sky
233,Srandakan,ID,-7.9386,110.2506,59.74,90,72,3.44,broken clouds
234,Sumenep,ID,-7.0167,113.8667,80.64,82,40,8.79,scattered clouds
235,Kodiak,US,57.79,-152.4072,45.91,76,90,3.44,overcast clouds
236,Miechow,PL,50.3565,20.0279,75.7,65,71,6.49,broken clouds
237,George,ZA,-33.963,22.4617,58.55,67,0,4.61,clear sky
238,Salalah,OM,17.0151,54.0924,84.29,79,20,9.22,few clouds
239,Kamaishi,JP,39.2667,141.8833,60.76,93,100,4.05,overcast clouds
240,Samarai,PG,-10.6167,150.6667,77.72,91,100,12.82,overcast clouds
241,East London,ZA,-33.0153,27.9116,61.74,59,0,5.75,clear sky
